negara,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,4595881,6051933,5565582,4855884,4613488,4371253,4553569,4996305,5833257,8542533
Colombia,1922532,2516694,2576546,2462526,2582565,2335423,2363170,2522878,3188816,4093436
Switzerland,2195140,2212293,2019503,2045677,2250221,2350718,2508925,2856689,3601361,3422252
Germany,2375258,2487710,2211967,2276562,2604030,2541006,2377576,2586875,2946553,3386062
Viet Nam,2551422,3311396,2415423,3040195,3101427,2891547,2218821,1976606,2155508,3154842
Italy,1410972,1503156,1398354,1536396,1630713,1709327,1743901,1731789,2099112,2368461
Honduras,835673,783268,932274,859082,1292024,1112180,955561,871839,1292003,1711141
Ethiopia,606340,784288,775392,725390,937963,794456,795619,795756,1189214,1513246
Belgium,1065158,990044,1057208,980162,939629,864476,837428,904851,1088158,1468239
United States of America,943660,958674,947993,933147,872862,859497,820847,785860,825090,1199286
Peru,699061,749468,584507,757820,710054,667893,621335,640727,758569,1188902
France,753831,803823,706948,743823,1064269,1167518,1242036,1418031,1409181,1182821
Indonesia,1174044,1039609,1197733,1008549,1187157,817789,883123,821937,858558,1149168
Guatemala,716026,668047,664018,651044,748582,680906,663821,651796,928384,1115976
Netherlands,372745,529376,533912,577716,732777,828492,779999,795374,906552,1114895
Canada,454558,467493,524910,553799,617613,504058,501152,477931,588484,851082
Uganda,425407,410064,402634,371674,555454,436084,438544,515534,718959,792909
Nicaragua,352857,399511,396537,405002,512452,419815,460224,440079,509682,716440
India,568530,540179,540617,549800,638583,515419,502745,464604,627240,712467
